id,status,duration,start_date,start_station,end_date,end_station,bike_nr,subscription_type,zip_code,birth_date,gender
325609,Closed,411,2012-06-19 00:03:00,24,2012-06-19 00:10:00,40,B00471,Casual,,,
325720,Closed,342,2012-06-19 07:02:00,62,2012-06-19 07:08:00,32,B00259,Registered,1701,1953,Male
325721,Closed,522,2012-06-19 07:03:00,4,2012-06-19 07:11:00,48,B00386,Registered,2116,1961,Male
325722,Closed,193,2012-06-19 07:03:00,40,2012-06-19 07:06:00,47,B00233,Registered,2109,1986,Male
325723,Closed,257,2012-06-19 07:03:00,24,2012-06-19 07:07:00,48,B00155,Registered,2482,1969,Male
325724,Closed,361,2012-06-19 07:05:00,53,2012-06-19 07:11:00,34,B00498,Registered,2115,1982,Female
325725,Closed,615,2012-06-19 07:05:00,22,2012-06-19 07:16:00,21,B00008,Registered,2122,1974,Male
325726,Closed,195,2012-06-19 07:06:00,22,2012-06-19 07:09:00,43,B00578,Registered,2111,1962,Male
325727,Closed,2844,2012-06-19 07:07:00,64,2012-06-19 07:55:00,64,B00390,Casual,,,
325728,Closed,2848,2012-06-19 07:07:00,64,2012-06-19 07:55:00,64,B00416,Casual,,,
325729,Closed,316,2012-06-19 07:06:00,22,2012-06-19 07:12:00,20,B00580,Registered,2368,1953,Male
325730,Closed,248,2012-06-19 07:06:00,22,2012-06-19 07:11:00,43,B00407,Registered,2026,1963,Male
325731,Closed,494,2012-06-19 07:07:00,22,2012-06-19 07:16:00,42,B00239,Registered,2748,1971,Male
325732,Closed,464,2012-06-19 07:08:00,22,2012-06-19 07:15:00,38,B00596,Registered,2021,1971,Male
325733,Closed,455,2012-06-19 07:08:00,22,2012-06-19 07:16:00,60,B00319,Registered,2035,1963,Female
325734,Closed,531,2012-06-19 07:08:00,42,2012-06-19 07:17:00,25,B00308,Registered,2118,1965,Female
325735,Closed,314,2012-06-19 07:08:00,60,2012-06-19 07:13:00,42,B00613,Registered,2114,1978,Male
325736,Closed,602,2012-06-19 07:08:00,42,2012-06-19 07:18:00,39,B00401,Registered,2118,1962,Female
325737,Closed,617,2012-06-19 07:09:00,60,2012-06-19 07:19:00,53,B00306,Registered,2139,1987,Male
325738,Closed,394,2012-06-19 07:10:00,38,2012-06-19 07:16:00,35,B00286,Registered,1826,1966,Male
325739,Closed,601,2012-06-19 07:10:00,46,2012-06-19 07:20:00,49,B00458,Registered,1748,1991,Male
325740,Closed,503,2012-06-19 07:10:00,36,2012-06-19 07:18:00,48,B00445,Registered,2116,1984,Male
325742,Closed,546,2012-06-19 07:12:00,61,2012-06-19 07:21:00,48,B00098,Registered,2116,1976,Male
325743,Closed,1378,2012-06-19 07:14:00,53,2012-06-19 07:37:00,65,B00573,Casual,,,
325744,Closed,288,2012-06-19 07:13:00,6,2012-06-19 07:18:00,35,B00030,Registered,2110,1987,Male
325745,Closed,336,2012-06-19 07:13:00,22,2012-06-19 07:19:00,20,B00221,Registered,2171,1958,Female
325746,Closed,601,2012-06-19 07:14:00,55,2012-06-19 07:24:00,11,B00237,Registered,1453,1988,Male
325747,Closed,425,2012-06-19 07:15:00,40,2012-06-19 07:22:00,22,B00276,Registered,2109,1979,Male
325748,Closed,804,2012-06-19 07:15:00,16,2012-06-19 07:29:00,14,B00187,Registered,2116,1980,Male
325749,Closed,626,2012-06-19 07:15:00,27,2012-06-19 07:26:00,50,B00018,Registered,2119,1963,Male
325750,Closed,794,2012-06-19 07:15:00,16,2012-06-19 07:29:00,14,B00549,Registered,2116,1983,Female
325751,Closed,951,2012-06-19 07:16:00,53,2012-06-19 07:32:00,22,B00494,Registered,2215,1989,Male
325752,Closed,278,2012-06-19 07:17:00,5,2012-06-19 07:21:00,45,B00515,Registered,2215,1959,Male
325753,Closed,134,2012-06-19 07:17:00,47,2012-06-19 07:19:00,38,B00313,Registered,2113,1984,Male
325754,Closed,1043,2012-06-19 07:19:00,60,2012-06-19 07:37:00,14,B00319,Registered,2169,1983,Female
325755,Closed,451,2012-06-19 07:20:00,26,2012-06-19 07:27:00,35,B00168,Registered,2118,1962,Male
325756,Closed,358,2012-06-19 07:20:00,42,2012-06-19 07:26:00,61,B00066,Registered,2020,1967,Female
325757,Closed,237,2012-06-19 07:22:00,32,2012-06-19 07:26:00,62,B00143,Registered,2052,1959,Female
325758,Closed,1956,2012-06-19 07:22:00,21,2012-06-19 07:55:00,21,B00190,Registered,2115,1987,Male
325759,Closed,812,2012-06-19 07:22:00,42,2012-06-19 07:36:00,55,B00603,Registered,2115,1959,Male
325760,Closed,358,2012-06-19 07:23:00,22,2012-06-19 07:29:00,50,B00276,Registered,2338,1969,Male
325761,Closed,149,2012-06-19 07:23:00,23,2012-06-19 07:26:00,6,B00349,Registered,2108,1972,Male
325762,Closed,251,2012-06-19 07:23:00,22,2012-06-19 07:27:00,49,B00266,Registered,2332,1983,Male
325763,Closed,1093,2012-06-19 07:23:00,41,2012-06-19 07:41:00,48,B00354,Registered,2109,1984,Male
325765,Closed,423,2012-06-19 07:24:00,64,2012-06-19 07:31:00,23,B00592,Registered,2210,1970,Male
325766,Closed,696,2012-06-19 07:24:00,38,2012-06-19 07:36:00,64,B00126,Registered,2129,1960,Female
325767,Closed,818,2012-06-19 07:25:00,58,2012-06-19 07:38:00,40,B00027,Registered,2116,1985,Male
325768,Closed,615,2012-06-19 07:25:00,38,2012-06-19 07:36:00,31,B00100,Registered,2421,1966,Male
325769,Closed,781,2012-06-19 07:26:00,35,2012-06-19 07:39:00,63,B00286,Registered,2143,1986,Male
325770,Closed,465,2012-06-19 07:27:00,26,2012-06-19 07:34:00,61,B00079,Registered,2118,1967,Male
325771,Closed,602,2012-06-19 07:27:00,22,2012-06-19 07:37:00,50,B00061,Registered,2330,1962,Male
325772,Closed,710,2012-06-19 07:27:00,35,2012-06-19 07:39:00,63,B00030,Casual,,,
325773,Closed,541,2012-06-19 07:27:00,58,2012-06-19 07:36:00,48,B00590,Registered,2116,1983,Male
325774,Closed,665,2012-06-19 07:27:00,57,2012-06-19 07:38:00,22,B00255,Registered,2118,1989,Male
325775,Closed,1530,2012-06-19 07:29:00,17,2012-06-19 07:55:00,3,B00112,Casual,,,
325776,Closed,285,2012-06-19 07:27:00,20,2012-06-19 07:32:00,22,B00268,Registered,2152,1979,Male
325777,Closed,283,2012-06-19 07:28:00,38,2012-06-19 07:32:00,20,B00197,Registered,2180,1976,Male
325778,Closed,575,2012-06-19 07:28:00,25,2012-06-19 07:38:00,22,B00258,Registered,2118,1971,Female
325779,Closed,516,2012-06-19 07:29:00,47,2012-06-19 07:37:00,22,B00186,Registered,2113,1978,Female
325780,Closed,625,2012-06-19 07:29:00,40,2012-06-19 07:39:00,23,B00091,Registered,2109,1959,Male
325781,Closed,227,2012-06-19 07:29:00,40,2012-06-19 07:33:00,20,B00175,Registered,2109,1958,Female
325782,Closed,1168,2012-06-19 07:29:00,38,2012-06-19 07:48:00,3,B00088,Registered,2155,1982,Male
325783,Closed,611,2012-06-19 07:29:00,21,2012-06-19 07:40:00,30,B00247,Registered,2116,1971,Male
325784,Closed,437,2012-06-19 07:29:00,39,2012-06-19 07:37:00,61,B00226,Registered,2118,1971,Male
325785,Closed,132,2012-06-19 07:29:00,22,2012-06-19 07:32:00,64,B00085,Registered,2139,1982,Male
325786,Closed,668,2012-06-19 07:30:00,57,2012-06-19 07:41:00,14,B00497,Registered,2118,1980,Male
325787,Closed,593,2012-06-19 07:32:00,17,2012-06-19 07:42:00,15,B00002,Casual,,,
325788,Closed,358,2012-06-19 07:31:00,26,2012-06-19 07:37:00,50,B00202,Registered,2118,1975,Male
325789,Closed,224,2012-06-19 07:31:00,4,2012-06-19 07:35:00,42,B00327,Registered,2116,1962,Male
325790,Closed,806,2012-06-19 07:31:00,45,2012-06-19 07:45:00,35,B00515,Registered,2215,1978,Female
325791,Closed,391,2012-06-19 07:32:00,26,2012-06-19 07:38:00,22,B00107,Registered,2118,1973,Male
325792,Closed,687,2012-06-19 07:32:00,38,2012-06-19 07:44:00,61,B00289,Registered,1930,1978,Male
325793,Closed,280,2012-06-19 07:32:00,20,2012-06-19 07:37:00,22,B00004,Registered,2109,1986,Male
325794,Closed,642,2012-06-19 07:32:00,14,2012-06-19 07:43:00,36,B00549,Registered,1590,1962,Male
325795,Closed,652,2012-06-19 07:33:00,38,2012-06-19 07:44:00,22,B00313,Registered,1930,1981,Male
325796,Closed,473,2012-06-19 07:33:00,4,2012-06-19 07:41:00,48,B00490,Registered,2118,1981,Male
325797,Closed,246,2012-06-19 07:33:00,38,2012-06-19 07:38:00,44,B00596,Registered,2108,1980,Male
325798,Closed,291,2012-06-19 07:34:00,16,2012-06-19 07:39:00,26,B00605,Registered,1749,1983,Male
325799,Closed,526,2012-06-19 07:34:00,43,2012-06-19 07:43:00,42,B00359,Registered,2043,1974,Male
325800,Closed,636,2012-06-19 07:34:00,43,2012-06-19 07:45:00,50,B00578,Registered,2043,1967,Male
325801,Closed,810,2012-06-19 07:35:00,46,2012-06-19 07:48:00,9,B00344,Registered,2132,1949,Male
325802,Closed,812,2012-06-19 07:35:00,61,2012-06-19 07:48:00,11,B00315,Registered,2116,1981,Male
325803,Closed,275,2012-06-19 07:35:00,20,2012-06-19 07:39:00,23,B00208,Registered,2109,1958,Female
